index,question,answers
0,what character did natalie portman play in star wars?,['Padmé Amidala']
1,what character did john noble play in lord of the rings?,['Denethor II']
2,what movies does taylor lautner play in?,"['Abduction', 'Eclipse', ""Valentine's Day"", 'The Twilight Saga: Breaking Dawn - Part 1', 'New Moon']"
3,what movie is josh hutcherson in?,"[""Cirque du Freak: The Vampire's Assistant"", 'The Hunger Games', '7 Days in Havana', 'Journey to the Center of the Earth', 'The Forger', 'Detention', 'Journey 2: The Mysterious Island', 'Red Dawn', 'The Third Rule', 'The Kids Are All Right']"
4,where do the san francisco giants play home games?,['AT&T Park']
5,what movies did sally field win an oscar for?,"['Places in the Heart', 'Sybil', 'Norma Rae', 'A Woman Of Independent Means', 'A Cooler Climate', 'Brothers & Sisters', 'ER']"
6,who does maggie grace play in taken?,['Kim']
7,what tv show did joey lawrence play on?,"['Blossom', 'Melissa & Joey', 'Bow', 'Gimme a Break!', 'Run of the House', 'Brotherly Love']"
8,what character did brian austin green play on 90210?,['David Silver']
9,where do the ny rangers play?,['Madison Square Garden']
10,who does the author stephenie meyer play in the movie twilight?,['Woman at Wedding']
11,what did shawnee smith play in?,"['The Grudge 3', 'Saw IV', 'Summer School', 'Saw II', 'Saw III', 'The Island', 'Saw', 'The Blob', ""Who's Harry Crumb?""]"
12,who plays meg in family guy?,['Mila Kunis']
13,what movie did angelina jolie direct?,"['In the Land of Blood and Honey', 'A Place in Time']"
14,where do baltimore ravens play?,['M&T Bank Stadium']
15,who plays lola bunny in the looney tunes show?,"['Britt McKillip', 'Kath Soucie']"
16,what stadium did the chicago cardinals play in?,['University of Phoenix Stadium']
17,what movie did james frey write?,"['Sugar: The Fall of the West', 'Kissing a Fool']"
18,who did ben stiller play in megamind?,['Bernard']
19,what movies did diana ross play in?,['The Wiz']
20,what character does ellen play in finding nemo?,['Dory']
21,what does nick cannon play in?,"['The Nightlife', 'Up All Night', 'Soul Train', 'All That', 'Short Circuitz', ""Wild 'n Out"", 'The Nick Cannon Show', 'Mash Up', ""America's Got Talent""]"
22,what shows did kellie martin star in?,"['A Pup Named Scooby-Doo', 'Crisis Center', 'Father Murphy', 'Life Goes On', 'Christy']"
23,who played mason capwell?,['Nancy Lee Grahn']
24,who plays captain kirk in 2009?,['Chris Pine']
25,when did the charlotte bobcats first play in the nba?,['2004 NBA Draft']
26,what movies did madonna appear in?,"['Shadows and Fog', 'A League of Their Own', 'Evita', 'Four Rooms', 'Arthur and the Invisibles', 'Dangerous Game', 'Dick Tracy', 'A Certain Sacrifice', ""Who's That Girl?"", 'Body of Evidence']"
27,who voiced meg in the pilot?,['Mila Kunis']
28,who plays lois lane in superman returns?,['Kate Bosworth']
29,who is the voice of stewie griffin from family guy?,['Seth MacFarlane']
30,who played the voice of aladdin?,['Scott Weinger']
31,what movies has taylor lautner been in 2011?,"['New Moon', 'Eclipse', 'The Twilight Saga', 'Abduction', 'Twilight', 'The Twilight Saga: Breaking Dawn - Part 2']"
32,who played maxie jones on general hospital?,['Kirsten Storms']
33,where does drew gordon play?,['Utah Jazz']
34,who voiced darth vader in revenge of the sith?,['Hayden Christensen']
35,who plays princess padme in star wars?,['Catherine Taber']
36,who played dumbledore in the first movie?,['Richard Harris']
37,who are the broncos players?,"['Wesley Woodyard', 'Peyton Manning', 'Joe Mays', 'Knowshon Moreno', 'Joel Dreessen', 'Mario Fannin', 'Manuel Ramírez', 'Tracy Porter', 'Andre Caldwell', 'Jacob Tamme']"
38,who plays nathan scott?,['James Lafferty']
39,where did drew stanton play in college?,['Michigan State University']
40,who sang at the mtv movie awards 2011?,"['Twisted Sister', 'Suicidal Tendencies', ""Guns N' Roses"", 'Red Hot Chili Peppers', 'AC/DC', 'Nirvana', 'Run-D.M.C.', 'Ice Cube', 'The Offspring', 'Metallica']"
41,where do houston aeros play?,['Toyota Center']
42,who played lois lane in superman 1?,['Margot Kidder']
43,who played dorothy in the wizard of oz movie?,['Judy Garland']
44,what movies did ron howard do?,"['Apollo 13', 'A Beautiful Mind', 'Curious George', 'Happy Days', 'Cocoon', 'From the Earth to the Moon']"
45,who played luke skywalker in star wars episode 4?,['Mark Hamill']
46,what movies has taylor lautner?,"['New Moon', ""He's a Bully, Charlie Brown"", 'Eclipse', 'Cheaper by the Dozen 2', 'Incarceron', 'The Adventures of Sharkboy and Lavagirl', 'Dear Eleanor', 'Abduction', 'Shadow Fury', 'Field of Dreams 2: Lockout']"
47,where does sam bradford play?,['St. Louis Rams']
48,who does dominic monaghan play in lord of the rings?,['Meriadoc Brandybuck']
49,who played john connor friend in terminator 2?,['Edward Furlong']
50,who is playing bilbo baggins?,"['Norman Bird', 'Martin Freeman', 'Ian Holm']"
51,where did matt barnes play?,['Small forward']
52,what movies did luke perry play in?,['Battle Scars: The Bud Moore Story']
53,what does amanda seyfried play in?,"['Boogie Woogie', ""Jennifer's Body"", 'Chloe', 'Dear John', 'Nine Lives', 'Solstice', 'Mamma Mia!', 'American Gun', 'Mean Girls', 'Alpha Dog']"
54,what voice does hank azaria do on the simpsons?,"['Carl Carlson', 'Chief Wiggum', 'Apu Nahasapeemapetilon']"
55,what instrument does bela fleck play?,['Banjo']
56,who is playing hawkeye in the avengers movie?,['Jeremy Renner']
57,what movie did rihanna play in?,"['This Is the End', 'Battleship', 'Happy Smekday!']"
58,who played juni in spy kids 4?,['Daryl Sabara']
59,who played violet's mother in charlie and the chocolate factory?,['Kansas City Athletics']
60,who plays ferris bueller's best friend?,['Alan Ruck']
61,who plays lois griffin in family guy?,['Alex Borstein']
62,what movies have kenya moore produced?,"['Trois', 'The Confidant', 'No Turning Back', 'Senseless', 'Cloud 9', 'Waiting to Exhale', 'I Know Who Killed Me', 'Hot Parts', 'Deliver Us from Eva', 'Brothers in Arms']"
63,who does danneel harris play on one tree hill?,['Rachel Gatina']
64,what was omar epps first movie?,['Juice']
65,where did william shakespeare perform most of his plays?,"['Globe Theatre, London']"
66,who played emma frost?,"['Finola Hughes', 'Tahyna Tozzi', 'January Jones']"
67,who plays the brother in hannah montana?,['Jason Earles']
68,who played emperor palpatine?,"['Ron Prather', 'Ian Abercrombie', 'Ian McDiarmid']"
69,what movies has billy burke been in?,"['New Moon', 'Feast of Love', 'Without Limits', 'Dill Scallion', 'Fracture', 'Komodo', 'Ladder 49', ""Don't Look Down"", 'Untraceable', 'Mafia!']"
70,what is the last movie brittany murphy made?,['8 Mile']
71,what movies have queen latifah played in?,"['Taxi', 'Jungle Fever', 'Set It Off', 'Stranger than Fiction', 'Last Holiday', 'Brown Sugar', 'Ice Age: The Meltdown', 'Ice Age: Dawn of the Dinosaurs', 'Hairspray', 'Bringing Down the House']"
72,who played alf on the tv show?,['Paul Fusco']
73,what movies does leo howard play in?,"['Logan', 'G.I. Joe: The Rise of Cobra', ""Aussie & Ted's Great Adventure"", 'Conan the Barbarian', 'Shorts']"
74,who does messi play with?,['FC Barcelona']
75,what is kevin durant play style?,['Small forward']
76,who play luke skywalker?,['Mark Hamill']
77,who is nina dobrev playing in perks of being a wallflower?,['Candace']
78,what are the names of michael jackson movies?,"['Michael Jackson: The Trial and Triumph of the King of Pop', 'Moonwalker', 'Listen Up! The Lives of Quincy Jones', 'Maniac Magee', 'Miss Cast Away', 'Michael Jackson: Live in Japan', 'Michael Jackson: Live in Bucharest: The Dangerous Tour', 'Miles Davis: Live in Montreal', ""Michael Jackson's Ghosts"", 'The Wiz']"
79,what movies did charlie hunnam play in?,['Green Street']
80,what movie did marlee matlin won an academy award for?,['Children of a Lesser God']
81,who played forrest gump as a kid?,['Michael Connor Humphreys']
82,who played todd manning on one life to live?,['Blair Cramer']
83,where do the fla marlins play?,['Marlins Park']
84,who played eowyn in the lord of the rings movies?,['Miranda Otto']
85,what films has gerard butler starred in?,"['Attila', 'Beowulf & Grendel', '300', 'Dear Frankie', 'Butterfly on a Wheel', 'Gamer', 'Fast Food', 'Dracula 2000', 'Coriolanus']"
86,what was liam neeson's character in star wars?,['Qui-Gon Jinn']
87,who plays the voice of lois griffin?,['Alex Borstein']
88,who does josh hutcherson play in the hunger games?,['Peeta Mellark']
89,who plays claire in lost?,['Hayden Panettiere']
90,who does jamie campbell bower play in breaking dawn?,['Anne Elizabeth Roseberry']
91,where is the world series 2012 being played?,"[""The Gashouse Gang: How Dizzy Dean, Leo Durocher, Branch Rickey, Pepper Martin, and Their Colorful, Come-from-Behind Ball Club Won the World Series - and America's Heart - During the Great Depression""]"
92,who was the voice of kitt?,['William Daniels']
93,what movies is molly ringwald in?,"['Office Killer', 'The Breakfast Club', 'Sixteen Candles', 'Fresh Horses', 'Strike It Rich', ""Betsy's Wedding"", 'Pretty in Pink', 'Spacehunter: Adventures in the Forbidden Zone', 'The Stand', 'Tempest']"
94,who played lois en superman?,"['Dana Delany', 'Anne Heche', 'Kate Bosworth', 'Amy Adams', 'Margot Kidder']"
95,where do the kansas city chiefs play?,['Kansas City']
96,what does starbucks sell?,"['Cafe / Coffee Shop', 'American food', 'Bakery', 'Delicatessen', 'Bagels']"
97,who does the voice of lois in family guy?,['Alex Borstein']
98,what are all the movies channing tatum has been in?,"['A Guide to Recognizing Your Saints', 'Battle in Seattle', 'Stop-Loss', 'Step Up', 'Coach Carter', ""She's the Man"", 'Havoc', 'Poor Things', 'Supercross', 'G.I. Joe: The Rise of Cobra']"
99,who played princess leia from star wars?,['Carrie Fisher']
100,who should play harley quinn?,"['Arleen Sorkin', 'Mia Sara', 'Hynden Walch']"
101,what market does starbucks operate in?,"['Cafe / Coffee Shop', 'American food', 'Bakery', 'Delicatessen', 'Bagels']"
102,what characters does trey parker voice?,"['Eric Cartman', 'Fosse McDonald', 'Kenny McCormick', 'Chef', 'Butters Stotch', 'Mr. Garrison', 'Kyle Broflovski', 'Stan Marsh']"
103,who the voice of lois griffin?,['Alex Borstein']
104,who does christopher walken play in batman returns?,['Max Shreck']
105,who played samuel sullivan in heroes?,['Robert Knepper']
106,what character does mila kunis play on family guy?,['Meg Griffin']
107,who played anakin skywalker in phantom menace?,['Jake Lloyd']
108,who plays the new michael myers?,['Brad Loree']
109,what films did patrick swayze star in?,"['City of Joy', 'Christmas in Wonderland', 'Father Hood', 'Along for the Ride', 'Black Dog', 'George and the Dragon', 'Donnie Darko', 'Dirty Dancing: Havana Nights', 'Dirty Dancing', '11:14']"
110,who plays sarah wittle in jumanji?,['Bonnie Hunt']
111,who does paul bettany play in the avengers?,['Edwin Jarvis']
112,who did the voice of darth vader in star wars?,['James Earl Jones']
113,who plays the voice of kovu?,['Jason Marsden']
114,where did gareth southgate play?,['England']
115,who plays ray barone?,"['Ray Romano, Michael Buble']"
116,what movies did robert blake play in?,"[""Alfalfa's Double"", 'Busting', ""Captain Spanky's Show Boat"", 'Bubbling Troubles', 'Dancing Romeo', 'Dad for a Day', 'Bridal Suite', 'All About Hash', 'Coast to Coast', 'Auto Antics']"
117,who did kat graham play in parent trap?,['Jackie']
118,who plays young lex luthor in smallville?,['Michael Rosenbaum']
119,who makes lois griffin voice?,['Alex Borstein']
120,who played jacob black?,['Taylor Lautner']
121,what movies star adam sandler?,"['Funny People', 'Anger Management', 'Happy Gilmore', 'Big Daddy', '50 First Dates', 'Click', 'Bulletproof', 'Billy Madison', 'Eight Crazy Nights', 'Airheads']"
122,who plays jackson gibbs on ncis?,['Ralph H. Waite']
123,who played captain kirk in star trek?,"['Jimmy Bennett', 'Chris Pine', 'William Shatner']"
124,when was the last time the ny giants played in the superbowl?,['Super Bowl XXV']
125,what teams played in the 2010 stanley cup?,['Chicago Blackhawks']
126,who plays mary jane in spiderman 3?,['Kirsten Dunst']
127,who is the voice of lois from family guy?,['Alex Borstein']
128,who is playing jason morgan on general hospital?,['Steve Burton']
129,who nikki reed play in twilight?,['Rosalie Hale']
130,who played mulder in the x files?,['David Duchovny']
131,who was the original voice of meg on family guy?,['Lacey Chabert']
132,what movies has michael clarke duncan been in?,"['American Crude', 'Air Buddies', 'A Crush on You', 'Brother Bear', 'Back in Business', 'A Night at the Roxbury', 'Breakfast of Champions', 'Bulworth', 'Armageddon', 'Brother Bear 2']"
